friday,hotelId,price
2017-10-27,801796,234
2017-10-27,6511543,285
2017-10-27,6473,214
2017-10-27,891035,259
2017-10-27,10744,371
2017-10-27,527232,178
2017-10-27,909545,219
2017-10-27,5210931,166
2017-10-27,2605,194
2017-10-27,582415,120
2017-10-27,64749,88
2017-10-27,900985,134
2017-10-27,7192,210
2017-10-27,1058226,149
2017-10-27,387893,161
2017-10-27,84048,162
2017-10-27,16413,272
2017-10-27,24388,193
2017-10-27,14849368,212
2017-10-27,5261444,229
2017-10-27,14632225,223
2017-10-27,5459142,217
2017-10-27,15118004,199
2017-10-27,888338,93
2017-10-27,1402870,181
2017-10-27,12332,207
2017-10-27,10186970,74
2017-10-27,1160321,125
2017-10-27,8035714,526
2017-10-27,1486728,113
2017-10-27,455821,384
2017-10-27,55005,154
2017-10-27,533987,151
2017-10-27,6516748,341
2017-10-27,889177,134
2017-10-27,447037,164
2017-10-27,3551,295
2017-10-27,2752030,164
2017-10-27,7238,117
2017-10-27,8563,406
2017-10-27,1381705,128
2017-10-27,8765476,136
2017-10-27,25926,229
2017-10-27,544087,291
2017-10-27,582065,185
2017-10-27,2023296,181
2017-10-27,41852,116
2017-10-27,118126,139
2017-10-27,6470359,121
2017-10-27,3296165,200
2017-10-27,888503,87
2017-10-27,21659,217
2017-10-27,1402886,241
2017-10-27,4923931,205
2017-10-27,1709292,133
2017-10-27,914141,102
2017-10-27,2379978,281
2017-10-27,462335,413
2017-10-27,3087913,193
2017-10-27,898660,193
2017-10-27,888718,212
2017-10-27,1402005,241
2017-10-27,14264,129
2017-10-27,6490,242
2017-10-27,1886693,145
2017-10-27,9683512,123
2017-10-27,1793825,258
2017-10-27,909423,98
2017-10-27,9789,289
2017-10-27,26802,279
2017-10-27,64071,118
2017-10-27,20124,189
2017-10-27,12569241,84
2017-10-27,2457204,111
2017-10-27,55000,276
2017-10-27,16150,262
2017-10-27,4482313,98
2017-10-27,21352,490
2017-10-27,1381713,117
2017-10-27,900646,105
2017-10-27,1890700,151
2017-10-27,10947164,247
2017-10-27,984512,191
2017-10-27,6882056,100
2017-10-27,431650,214
2017-10-27,3005785,247
2017-10-27,14657359,98
2017-10-27,115931,120
2017-10-27,11042,116
2017-10-27,8438852,144
2017-10-27,201127,235
2017-10-27,21632,205
2017-10-27,1381443,108
2017-10-27,5398121,137
2017-10-27,5376454,128
2017-10-27,26085,166
2017-10-27,7422259,279
2017-10-27,15538456,438
2017-10-27,6706032,151
2017-10-27,2543847,225
2017-10-27,6413161,132
2017-10-27,14920177,116
2017-10-27,23016,442
2017-10-27,64060,143
2017-10-27,14898060,158
2017-10-27,922080,93
2017-10-27,4506301,124
2017-11-03,28146,385
2017-11-03,20098,607
2017-11-03,3113039,240
2017-11-03,2276,243
2017-11-03,3849185,644
2017-11-03,16363485,188
2017-11-03,537268,686
2017-11-03,12084011,179
2017-11-03,888830,102
2017-11-03,5169,365
2017-11-03,21688,170
2017-11-03,21208,668
2017-11-03,4944634,260
2017-11-03,4836998,205
2017-11-03,116041,161
2017-11-03,10939,296
2017-11-03,1585328,187
2017-11-03,7606,367
2017-11-03,179,250
2017-11-03,1584661,193
2017-11-03,7082613,195
2017-11-03,62755,148
2017-11-03,438636,867
2017-11-03,523228,185
2017-11-03,4735824,171
2017-11-03,49091,284
2017-11-03,62766,112
2017-11-03,528337,242
2017-11-03,574158,313
2017-11-03,3872807,133
2017-11-03,1217618,189
2017-11-03,5349114,561
2017-11-03,25875,298
2017-11-03,18561,246
2017-11-03,28126,170
2017-11-03,115911,148
2017-11-03,518026,189
2017-11-03,9745,221
2017-11-03,20515,292
2017-11-03,11196,475
2017-11-03,115923,425
2017-11-03,47581,231
2017-11-03,27158,607
2017-11-03,559690,140
2017-11-03,13891,313
2017-11-03,10430,257
2017-11-03,525490,215
2017-11-03,447050,188
2017-11-03,201089,163
2017-11-03,8466215,204
2017-11-03,527482,199
2017-11-03,2651,207
2017-11-03,428403,156
2017-11-03,528338,214
2017-11-03,5685761,168
2017-11-03,856595,357
2017-11-03,21364,876
2017-11-03,470865,307
2017-11-03,523223,227
2017-11-03,2816681,199
2017-11-03,807771,286
2017-11-03,7281877,303
2017-11-03,2156327,161
2017-11-03,578692,392
2017-11-03,5627,289
2017-11-03,559689,139
2017-11-03,888733,129
2017-11-03,20210,193
2017-11-03,1118954,227
2017-11-03,523756,368
2017-11-03,15588,759
2017-11-03,34285,158
2017-11-03,10744,371
2017-11-03,8161,192
2017-11-03,535667,219
2017-11-03,2479,234
2017-11-03,914263,148
2017-11-03,854775,171
2017-11-03,14736047,183
2017-11-03,6232954,209
2017-11-03,1742184,224
2017-11-03,7733871,185
2017-11-03,8563,433
2017-11-03,8035714,564
2017-11-03,329968,154
2017-11-03,847459,194
2017-11-03,5244458,194
2017-11-03,25926,217
2017-11-03,455821,374
2017-11-03,21352,419
2017-11-03,2605,161
2017-11-03,1183908,210
2017-11-03,909545,179
2017-11-03,6511543,285
2017-11-03,15118004,204
2017-11-03,801796,245
2017-11-03,888528,233
2017-11-03,891035,259
2017-11-03,54987,250
2017-11-03,5459142,187
2017-11-03,900931,117
2017-11-03,7049006,186
2017-11-03,5261444,205
2017-11-03,1058226,167
2017-11-03,16413,272
2017-11-03,3231188,173
2017-11-03,8763846,87
2017-11-03,6473,245
2017-11-03,447037,164
2017-11-03,527232,178
2017-11-03,21659,217
2017-11-03,582065,179
2017-11-03,5210931,166
2017-11-03,14849368,212
2017-11-03,2023296,172
2017-11-03,12332,179
2017-11-03,7192,220
2017-11-03,6490,194
2017-11-03,24388,193
2017-11-03,14632225,233
2017-11-03,84048,162
2017-11-03,3551,307
2017-11-03,387893,161
2017-11-03,544087,291
2017-11-03,1402005,182
2017-11-03,462335,413
2017-11-03,431650,214
2017-11-03,899176,493
2017-11-03,900985,134
2017-11-03,2752030,164
2017-11-03,898660,167
2017-11-03,16150,297
2017-11-03,1402870,181
2017-11-03,1381705,128
2017-11-03,582415,120
2017-11-03,8765476,136
2017-11-03,571680,186
2017-11-03,888718,212
2017-11-03,1486728,101
2017-11-03,4661230,306
2017-11-03,15538456,443
2017-11-03,1402886,241
2017-11-03,64749,88
2017-11-03,889177,134
2017-11-03,436250,288
2017-11-03,533987,151
2017-11-03,26802,279
2017-11-03,9789,289
2017-11-03,3296165,195
2017-11-03,26145,144
2017-11-03,1160321,125
2017-11-03,20124,174
2017-11-03,8171297,529
2017-11-03,4923931,205
2017-11-03,1793825,258
2017-11-03,55005,170
2017-11-03,7238,113
2017-11-03,4278,368
2017-11-03,1144039,205
2017-11-03,14264,113
2017-11-03,7528,395
2017-11-03,1348046,294
2017-11-03,2379978,273
2017-11-03,23016,442
2017-11-03,55000,276
2017-11-03,10947164,247
2017-11-03,888338,93
2017-11-03,3087913,193
2017-11-03,598182,180
2017-11-03,1886693,126
2017-11-03,118126,134
2017-11-03,2543847,225
2017-11-03,9732709,420
2017-11-03,25578,399
2017-11-03,11715,178
2017-11-03,1112611,554
2017-11-03,26085,148
2017-11-03,41852,114
2017-11-03,6882056,62
2017-11-03,1709292,133
2017-11-03,4883915,276
2017-11-03,10186970,74
2017-11-03,6470359,121
2017-11-03,984512,191
2017-11-03,3977996,183
2017-11-03,1038731,213
2017-11-03,1348282,168
2017-11-03,7422259,279
2017-11-03,1653152,427
2017-11-03,8438852,144
2017-11-03,3907784,326
2017-11-03,788906,157
2017-11-03,9683512,119
2017-11-03,64071,103
2017-11-03,914179,216
2017-11-03,201127,235
2017-11-03,2457204,115
2017-11-03,21632,205
2017-11-03,425849,317
2017-11-03,888503,79
2017-11-10,28146,424
2017-11-10,20098,607
2017-11-10,3113039,258
2017-11-10,2276,268
2017-11-10,3849185,644
2017-11-10,12084011,175
2017-11-10,537268,686
2017-11-10,21688,170
2017-11-10,888830,106
2017-11-10,21208,668
2017-11-10,4944634,260
2017-11-10,5169,387
2017-11-10,4836998,205
2017-11-10,116041,165
2017-11-10,10939,303
2017-11-10,7606,370
2017-11-10,179,250
2017-11-10,7082613,195
2017-11-10,1585328,208
2017-11-10,523228,179
2017-11-10,62755,148
2017-11-10,49091,276
2017-11-10,438636,867
2017-11-10,1584661,215
2017-11-10,62766,112
2017-11-10,3872807,133
2017-11-10,574158,313
2017-11-10,28126,151
2017-11-10,528337,254
2017-11-10,18561,231
2017-11-10,4735824,193
2017-11-10,1217618,189
2017-11-10,5349114,561
2017-11-10,25875,301
2017-11-10,11196,460
2017-11-10,115911,148
2017-11-10,518026,189
2017-11-10,20515,292
2017-11-10,27158,607
2017-11-10,9745,230
2017-11-10,10430,257
2017-11-10,8466215,199
2017-11-10,447050,188
2017-11-10,428403,140
2017-11-10,201089,163
2017-11-10,559690,150
2017-11-10,527482,193
2017-11-10,47581,254
2017-11-10,13891,337
2017-11-10,470865,287
2017-11-10,2651,207
2017-11-10,34285,130
2017-11-10,856595,357
2017-11-10,5685761,168
2017-11-10,21364,876
2017-11-10,523223,227
2017-11-10,1118954,234
2017-11-10,2816681,199
2017-11-10,5627,273
2017-11-10,807771,286
2017-11-10,578692,392
2017-11-10,115923,555
2017-11-10,888733,129
2017-11-10,528338,207
2017-11-10,20210,193
2017-11-10,2156327,173
2017-11-10,523756,368
2017-11-10,7281877,333
2017-11-10,15588,759
2017-11-10,10744,371
2017-11-10,559689,155
2017-11-10,525490,310
2017-11-10,535667,219
2017-11-10,2479,234
2017-11-10,1742184,214
2017-11-10,854775,171
2017-11-10,14736047,183
2017-11-10,6232954,209
2017-11-10,8563,433
2017-11-10,8161,204
2017-11-10,7733871,185
2017-11-10,329968,154
2017-11-10,847459,194
2017-11-10,5244458,194
2017-11-10,914263,144
2017-11-10,15118004,193
2017-11-10,21352,419
2017-11-10,455821,374
2017-11-10,1183908,210
2017-11-10,909545,179
2017-11-10,6511543,285
2017-11-10,2605,174
2017-11-10,888528,229
2017-11-10,891035,259
2017-11-10,801796,260
2017-11-10,25926,259
2017-11-10,1058226,155
2017-11-10,900931,117
2017-11-10,7049006,181
2017-11-10,5261444,205
2017-11-10,3231188,173
2017-11-10,5459142,217
2017-11-10,6473,245
2017-11-10,447037,164
2017-11-10,21659,217
2017-11-10,582065,179
2017-11-10,527232,178
2017-11-10,8763846,90
2017-11-10,16413,292
2017-11-10,5210931,166
2017-11-10,14849368,212
2017-11-10,1402005,163
2017-11-10,7192,220
2017-11-10,24388,193
2017-11-10,84048,158
2017-11-10,14632225,233
2017-11-10,582514,237
2017-11-10,1223192,106
2017-11-10,899176,467
2017-11-10,387893,161
2017-11-10,544087,291
2017-11-10,12332,197
2017-11-10,462335,413
2017-11-10,431650,214
2017-11-10,2023296,171
2017-11-10,2752030,164
2017-11-10,16150,297
2017-11-10,571680,191
2017-11-10,3551,343
2017-11-10,1402870,181
2017-11-10,1381705,128
2017-11-10,14264,94
2017-11-10,8765476,136
2017-11-10,582415,120
2017-11-10,898660,189
2017-11-10,436250,288
2017-11-10,2379978,281
2017-11-10,6490,268
2017-11-10,888718,212
2017-11-10,1486728,101
2017-11-10,64749,88
2017-11-10,1402886,241
2017-11-10,3296165,188
2017-11-10,889177,134
2017-11-10,26802,279
2017-11-10,15538456,455
2017-11-10,533987,151
2017-11-10,1112611,477
2017-11-10,9789,289
2017-11-10,1160321,125
2017-11-10,1144039,201
2017-11-10,26145,150
2017-11-10,4278,368
2017-11-10,4661230,339
2017-11-10,900985,150
2017-11-10,4923931,205
2017-11-10,55005,170
2017-11-10,1793825,258
2017-11-10,7238,113
2017-11-10,1348046,294
2017-11-10,10947164,247
2017-11-10,23016,442
2017-11-10,7528,414
2017-11-10,55000,276
2017-11-10,598182,180
2017-11-10,888338,93
2017-11-10,9732709,420
2017-11-10,3087913,193
2017-11-10,2543847,225
2017-11-10,1886693,126
2017-11-10,118126,134
2017-11-10,11715,178
2017-11-10,26085,148
2017-11-10,6882009,98
2017-11-10,4883915,276
2017-11-10,20124,213
2017-11-10,1709292,133
2017-11-10,41852,117
2017-11-10,8171297,669
2017-11-10,3907784,317
2017-11-10,1038731,213
2017-11-10,10186970,74
2017-11-10,1348282,168
2017-11-10,6470359,121
2017-11-10,984512,191
2017-11-10,11742576,274
2017-11-10,788906,157
2017-11-10,8438852,144
2017-11-10,425849,317
2017-11-10,7422259,279
2017-11-10,9683512,119
2017-11-10,64071,103
2017-11-10,2457204,115
2017-11-10,201127,235
2017-11-10,21632,205
2017-11-10,3977996,204
2017-11-10,888503,79
2017-11-10,1049989,332
2017-11-10,1890700,141
2017-11-10,25596,250
2017-11-17,28146,397
2017-11-17,888830,102
2017-11-17,12084011,171
2017-11-17,21688,170
2017-11-17,116041,171
2017-11-17,16363485,230
2017-11-17,3113039,258
2017-11-17,62766,115
2017-11-17,20098,655
2017-11-17,3872807,137
2017-11-17,5169,331
2017-11-17,4944634,260
2017-11-17,4836998,205
2017-11-17,62755,148
2017-11-17,10939,271
2017-11-17,428403,133
2017-11-17,1585328,220
2017-11-17,2276,302
2017-11-17,7082613,195
2017-11-17,115911,153
2017-11-17,34285,136
2017-11-17,179,250
2017-11-17,4735824,182
2017-11-17,523228,202
2017-11-17,16706355,155
2017-11-17,49091,293
2017-11-17,28126,170
2017-11-17,1584661,220
2017-11-17,3849185,644
2017-11-17,528337,242
2017-11-17,5685761,168
2017-11-17,518026,189
2017-11-17,537268,686
2017-11-17,574158,313
2017-11-17,7606,370
2017-11-17,559690,171
2017-11-17,1217618,189
2017-11-17,527482,183
2017-11-17,10430,265
2017-11-17,525490,230
2017-11-17,2651,214
2017-11-17,2816681,205
2017-11-17,888733,129
2017-11-17,18561,222
2017-11-17,25875,301
2017-11-17,2479,186
2017-11-17,201089,163
2017-11-17,559689,144
2017-11-17,20515,301
2017-11-17,528338,214
2017-11-17,9745,230
2017-11-17,13891,313
2017-11-17,854775,177
2017-11-17,914263,148
2017-11-17,5349114,578
2017-11-17,900931,120
2017-11-17,20210,193
2017-11-17,470865,286
2017-11-17,115923,425
2017-11-17,8466215,189
2017-11-17,447050,188
2017-11-17,438636,903
2017-11-17,5627,273
2017-11-17,10546518,110
2017-11-17,807771,286
2017-11-17,2156327,173
2017-11-17,329968,154
2017-11-17,47581,272
2017-11-17,7281877,343
2017-11-17,8763846,88
2017-11-17,7733871,185
2017-11-17,578692,405
2017-11-17,5244458,183
2017-11-17,11196,475
2017-11-17,8161,204
2017-11-17,847459,194
2017-11-17,523223,227
2017-11-17,7049006,176
2017-11-17,1742184,214
2017-11-17,27158,607
2017-11-17,14736047,194
2017-11-17,3231188,179
2017-11-17,909545,179
2017-11-17,888528,229
2017-11-17,1223192,109
2017-11-17,21208,1030
2017-11-17,6511543,294
2017-11-17,1183908,203
2017-11-17,891035,267
